account_id,customer_id,account_type,open_date,current_balance,currency
ACC0000001,CUST003106,Checking,09/28/2016,1169.72,USD
ACC0000002,CUST003106,Credit Card,09/28/2016,-2436.6,USD
ACC0000003,CUST003787,Savings,2018/12/31,"USD 10,172.60",USD
ACC0000004,CUST004330,Credit Card,08-Jan-2015,-216.40,USD
ACC0000005,CUST001256,Credit Card,07/28/2022,"USD -5,142.75",USD
ACC0000006,CUST001256,Checking,07/28/2022,"USD 3,361.32",USD
ACC0000007,CUST002252,Savings,05/05/2018,17 244.05,USD
ACC0000008,CUST002252,Credit Card,05/05/2018,-3680.21,USD
ACC0000009,CUST003707,Credit Card,21-Dec-2014,-4 139.58,USD
ACC0000010,CUST003707,Savings,21-Dec-2014,"USD 49,302.21",USD
ACC0000011,CUST003707,Loan,21-Dec-2014,-6730.33,USD
ACC0000012,CUST004939,Checking,07/28/2024,"USD 1,556.80",USD
ACC0000013,CUST004939,Credit Card,07/28/2024,N/A,USD
ACC0000014,CUST003529,Checking,2023/11/21,4 193.63,USD
ACC0000015,CUST003529,Loan,2023/11/21,-74 388.41,USD
ACC0000016,CUST003529,Savings,2023/11/21,21789.6,USD
ACC0000017,CUST004288,Loan,10/20/2017,-33878.36,USD
ACC0000018,CUST004288,Credit Card,10/20/2017,-784.01,USD
ACC0000019,CUST000080,Savings,2017/10/25,11434.48,USD
ACC0000020,CUST001840,Savings,21/08/2020,70494.96,USD
ACC0000021,CUST002639,Savings,2023/10/09,5656.76,USD
ACC0000022,CUST002639,Checking,2023/10/09,3084.02,USD
ACC0000023,CUST003389,Savings,31-Mar-2021,7875.87,USD
ACC0000024,CUST004644,Checking,03-Sep-2020,1340.17,USD
ACC0000025,CUST000229,Savings,2016/04/21,"USD 22,662.37",USD
ACC0000026,CUST000229,Loan,2016/04/21,-59536.99,USD
ACC0000027,CUST000229,Checking,2016/04/21,366.3,USD
ACC0000028,CUST002064,Checking,2021/07/08,"USD 4,417.80",USD
ACC0000029,CUST002064,Loan,2021/07/08,-37312.86,USD
ACC0000030,CUST002064,Credit Card,2021/07/08,-4324.64,USD
ACC0000031,CUST001865,Loan,09/07/2015,-58188.15,USD
ACC0000032,CUST001865,Savings,09/07/2015,21818.41,USD
ACC0000033,CUST001865,Checking,09/07/2015,1308.24,USD
ACC0000034,CUST001865,Credit Card,09/07/2015,-1758.33,USD
ACC0000035,CUST000066,Credit Card,2020-10-21,N/A,USD
ACC0000036,CUST000066,Loan,2020-10-21,N/A,USD
ACC0000037,CUST003957,Checking,2020-07-07,10050.89,USD
ACC0000038,CUST003957,Loan,2020-07-07,-12156.48,USD
ACC0000039,CUST001527,Loan,08/14/2019,"USD -45,761.25",USD
ACC0000040,CUST001527,Checking,08/14/2019,N/A,USD
ACC0000041,CUST000034,Savings,2020-01-05,12630.17,USD
ACC0000042,CUST004161,Checking,2015/02/09,1690.18,USD
ACC0000043,CUST003226,Loan,13-Oct-2024,-8162.17,USD
ACC0000044,CUST003226,Credit Card,13-Oct-2024,-3476.16,USD
ACC0000045,CUST000682,Loan,29-Apr-2024,-46 280.27,USD
ACC0000046,CUST003470,Loan,09/05/2021,"USD -57,871.57",USD
ACC0000047,CUST003470,Checking,09/05/2021,5282.21,USD
ACC0000048,CUST003470,Savings,09/05/2021,51662.37,USD
ACC0000049,CUST003680,Credit Card,08/03/2017,"USD -1,127.63",USD
ACC0000050,CUST003680,Loan,08/03/2017,-58403.1,USD
ACC0000051,CUST004801,Checking,14-Apr-2017,6780.54,USD
ACC0000052,CUST004801,Credit Card,14-Apr-2017,-2246.32,USD
ACC0000053,CUST000764,Credit Card,16/03/2020,-1053.42,USD
ACC0000054,CUST000764,Loan,16/03/2020,N/A,USD
ACC0000055,CUST000764,Savings,16/03/2020,21317.11,USD
ACC0000056,CUST000764,Checking,16/03/2020,N/A,USD
ACC0000057,CUST000466,Checking,2015/11/11,6926.87,USD
ACC0000058,CUST000466,Savings,2015/11/11,29821.59,USD
ACC0000059,CUST001150,Credit Card,2020/10/18,-2 415.20,USD
ACC0000060,CUST002648,Loan,03/20/2018,-34 454.50,USD
ACC0000061,CUST001418,Credit Card,2022-12-11,-2804.35,USD
ACC0000062,CUST001418,Loan,2022-12-11,-31234.94,USD
ACC0000063,CUST000585,Checking,28-Aug-2024,"USD 3,581.28",USD
ACC0000064,CUST002230,Savings,01/07/2024,-14729.06,USD
ACC0000065,CUST003471,Loan,2022/01/21,"USD -14,420.50",USD
ACC0000066,CUST002237,Credit Card,13/07/2022,-4585.03,USD
ACC0000067,CUST002237,Checking,13/07/2022,2812.85,USD
ACC0000068,CUST002237,Loan,13/07/2022,-29 026.03,USD
ACC0000069,CUST002440,Savings,2017/03/18,13117.92,USD
ACC0000070,CUST001935,Checking,2024/09/28,"USD 5,104.50",USD
ACC0000071,CUST000394,Credit Card,24/09/2015,-1293.85,USD
ACC0000072,CUST000556,Savings,2022-08-15,"USD 19,316.60",USD
ACC0000073,CUST000556,Loan,2022-08-15,-25739.02,USD
ACC0000074,CUST001362,Loan,03/22/2024,"USD -15,577.38",USD
ACC0000075,CUST001362,Credit Card,03/22/2024,"USD -1,835.96",USD
ACC0000076,CUST000024,Checking,18-Sep-2021,2557.57,USD
