account_id,customer_id,month,end_of_month_balance,num_transactions,num_logins,overdraft_flag
ACC0000001,CUST003106,2024-01,7571.73,9,10,0
ACC0000001,CUST003106,2024-02,7632.3,14,11,0
ACC0000001,CUST003106,2024-03,7624.38,12,7,0
ACC0000001,CUST003106,2024-04,7635.45,10,5,0
ACC0000001,CUST003106,2024-05,7487.7,10,8,0
ACC0000001,CUST003106,2024-06,7285.71,7,10,0
ACC0000001,CUST003106,2024-07,7071.43,12,7,1
ACC0000001,CUST003106,2024-08,7243.9,13,5,0
ACC0000001,CUST003106,2024-09,7292.81,16,8,0
ACC0000001,CUST003106,2024-10,7402.74,14,9,0
ACC0000001,CUST003106,2024-11,7223.86,9,7,1
ACC0000001,CUST003106,2024-12,7394.86,13,13,1
ACC0000003,CUST003787,2024-01,10698.33,8,14,0
ACC0000003,CUST003787,2024-02,11212.18,15,6,0
ACC0000003,CUST003787,2024-03,11278.74,13,6,0
ACC0000003,CUST003787,2024-04,11558.01,18,15,0
ACC0000003,CUST003787,2024-05,11445.41,11,16,1
ACC0000003,CUST003787,2024-06,11913.02,7,12,0
ACC0000003,CUST003787,2024-07,11840.42,10,3,0
ACC0000003,CUST003787,2024-08,11940.56,8,8,0
ACC0000003,CUST003787,2024-09,12411.51,11,9,0
ACC0000003,CUST003787,2024-10,12770.33,6,6,0
ACC0000003,CUST003787,2024-11,12486.06,14,6,0
ACC0000003,CUST003787,2024-12,12399.46,10,4,1
ACC0000004,CUST004330,2024-01,6431.33,18,10,0
ACC0000004,CUST004330,2024-02,6286.36,15,6,0
ACC0000004,CUST004330,2024-03,6347.64,10,8,0
ACC0000004,CUST004330,2024-04,6415.72,9,10,0
ACC0000004,CUST004330,2024-05,6702.24,12,9,0
ACC0000004,CUST004330,2024-06,6625.45,9,8,0
ACC0000004,CUST004330,2024-07,6723.83,9,3,0
ACC0000004,CUST004330,2024-08,6842.71,15,10,0
ACC0000004,CUST004330,2024-09,6704.74,12,7,0
ACC0000004,CUST004330,2024-10,6808.61,8,7,0
ACC0000004,CUST004330,2024-11,6789.73,7,10,0
ACC0000004,CUST004330,2024-12,6862.76,6,4,0
ACC0000006,CUST001256,2024-01,5481.73,13,7,0
ACC0000006,CUST001256,2024-02,5576.8,14,7,0
ACC0000006,CUST001256,2024-03,5445.11,14,8,0
ACC0000006,CUST001256,2024-04,5689.06,13,12,0
ACC0000006,CUST001256,2024-05,5742.03,10,12,0
ACC0000006,CUST001256,2024-06,5768.87,13,11,1
ACC0000006,CUST001256,2024-07,5797.06,12,12,0
ACC0000006,CUST001256,2024-08,5830.59,10,15,0
ACC0000006,CUST001256,2024-09,5982.74,6,4,0
ACC0000006,CUST001256,2024-10,5915.57,10,7,0
ACC0000006,CUST001256,2024-11,5909.02,17,3,0
ACC0000006,CUST001256,2024-12,6198.07,16,7,0
ACC0000007,CUST002252,2024-01,2121.98,19,11,1
ACC0000007,CUST002252,2024-02,2222.93,11,8,0
ACC0000007,CUST002252,2024-03,2234.8,16,3,0
ACC0000007,CUST002252,2024-04,2326.88,16,7,0
ACC0000007,CUST002252,2024-05,2360.18,6,11,0
ACC0000007,CUST002252,2024-06,2464.91,11,6,0
ACC0000007,CUST002252,2024-07,2409.1,19,10,0
ACC0000007,CUST002252,2024-08,2497.72,6,8,0
ACC0000007,CUST002252,2024-09,2496.42,10,5,0
ACC0000007,CUST002252,2024-10,2454.78,15,9,0
ACC0000007,CUST002252,2024-11,2484.41,17,7,0
ACC0000007,CUST002252,2024-12,2468.3,10,7,0
ACC0000009,CUST003707,2024-01,523.57,9,6,0
ACC0000009,CUST003707,2024-02,539.79,13,11,0
ACC0000009,CUST003707,2024-03,527.02,11,13,0
ACC0000009,CUST003707,2024-05,558.94,7,8,0
ACC0000009,CUST003707,2024-06,546.93,13,11,0
ACC0000009,CUST003707,2024-07,541.92,12,5,0
ACC0000009,CUST003707,2024-08,555.34,13,5,0
ACC0000009,CUST003707,2024-09,555.25,13,11,0
ACC0000009,CUST003707,2024-10,580.83,9,10,0
ACC0000009,CUST003707,2024-11,564.53,13,4,0
ACC0000009,CUST003707,2024-12,554.07,13,13,0
ACC0000012,CUST004939,2024-01,15779.37,13,6,0
ACC0000012,CUST004939,2024-02,15463.45,9,7,0
ACC0000012,CUST004939,2024-03,15237.51,14,9,0
ACC0000012,CUST004939,2024-04,15288.59,14,7,0
