transaction_id,account_id,customer_id,transaction_date,transaction_type,category,amount
TXN00000001,ACC0000393,CUST003828,2024-11-25 00:00:00,ATM Withdrawal,Salary,-72.52
TXN00000002,ACC0000393,CUST003828,2024-10-25 00:00:00,ATM Withdrawal,Groceries,-68.11
TXN00000003,ACC0000393,CUST003828,2024-11-17 00:00:00,ATM Withdrawal,Entertainment,-15.07
TXN00000004,ACC0000393,CUST003828,2024-11-11 00:00:00,International Transfer,Rent,-792.5
TXN00000005,ACC0000393,CUST003828,2024-11-10 00:00:00,Online Transfer,Salary,-42.22
TXN00000006,ACC0000393,CUST003828,2024-12-17 00:00:00,POS Purchase,Other,-120.27
TXN00000007,ACC0000393,CUST003828,2024-11-27 00:00:00,Online Transfer,Salary,-133.8
TXN00000008,ACC0000393,CUST003828,2024-10-11 00:00:00,POS Purchase,Dining,-63.96
TXN00000009,ACC0000393,CUST003828,2024-11-26 00:00:00,Online Transfer,Groceries,-17.56
TXN00000010,ACC0000393,CUST003828,2024-10-11 00:00:00,International Transfer,Healthcare,-277.65
TXN00000011,ACC0000393,CUST003828,2024-10-25 00:00:00,ATM Withdrawal,Rent,-59.83
TXN00000012,ACC0000393,CUST003828,2024-12-06 00:00:00,International Transfer,Salary,-390.29
TXN00000013,ACC0000393,CUST003828,2024-12-28 00:00:00,Direct Debit,Other,-57.19
TXN00000014,ACC0000393,CUST003828,2024-10-30 00:00:00,Mobile Payment,Salary,-35.73
TXN00000015,ACC0000393,CUST003828,2024-11-03 00:00:00,ATM Withdrawal,Dining,-17.98
TXN00000016,ACC0000393,CUST003828,2024-11-22 00:00:00,Online Transfer,Rent,-1.62
TXN00000017,ACC0000393,CUST003828,2024-12-26 00:00:00,POS Purchase,Entertainment,-29.28
TXN00000018,ACC0000393,CUST003828,2024-10-25 00:00:00,Online Transfer,Other,-75.32
TXN00000019,ACC0000393,CUST003828,2024-12-15 00:00:00,POS Purchase,Healthcare,-204.75
TXN00000020,ACC0000393,CUST003828,2024-11-12 00:00:00,Mobile Payment,Rent,-139.97
TXN00000021,ACC0000393,CUST003828,2024-10-30 00:00:00,POS Purchase,Travel,-70.2
TXN00000022,ACC0000393,CUST003828,2024-12-08 00:00:00,Mobile Payment,Salary,-191.7
TXN00000023,ACC0000393,CUST003828,2024-11-15 00:00:00,Direct Debit,Rent,-53.92
TXN00000024,ACC0000393,CUST003828,2024-10-21 00:00:00,POS Purchase,Utilities,-145.43
TXN00000025,ACC0000393,CUST003828,2024-12-07 00:00:00,POS Purchase,Other,-43.25
TXN00000026,ACC0000393,CUST003828,2024-10-15 00:00:00,Mobile Payment,Shopping,-89.22
TXN00000027,ACC0000393,CUST003828,2024-10-22 00:00:00,Salary Deposit,Salary,5045.93
TXN00000028,ACC0000393,CUST003828,2024-11-13 00:00:00,International Transfer,Dining,-149.27
TXN00000029,ACC0000393,CUST003828,2024-11-23 00:00:00,International Transfer,Travel,-166.6
TXN00000030,ACC0000393,CUST003828,2024-11-29 00:00:00,POS Purchase,Travel,-42.06
TXN00000031,ACC0000393,CUST003828,2024-11-30 00:00:00,Online Transfer,Travel,-82.45
TXN00000032,ACC0000393,CUST003828,2024-10-24 00:00:00,Direct Debit,Groceries,-77.61
TXN00000033,ACC0000393,CUST003828,2024-11-02 00:00:00,POS Purchase,Other,-42.46
TXN00000034,ACC0000393,CUST003828,2024-12-24 00:00:00,Salary Deposit,Salary,3265.36
TXN00000035,ACC0000393,CUST003828,2024-12-19 00:00:00,Direct Debit,Dining,-136.81
TXN00000036,ACC0000393,CUST003828,2024-10-31 00:00:00,Direct Debit,Healthcare,-227.27
TXN00000037,ACC0000393,CUST003828,2024-11-30 00:00:00,Online Transfer,Utilities,-29.0
TXN00000038,ACC0009530,CUST003462,2024-11-30 00:00:00,Salary Deposit,Salary,4994.23
TXN00000039,ACC0009530,CUST003462,2024-12-03 00:00:00,Mobile Payment,Salary,-23.93
TXN00000040,ACC0009530,CUST003462,2024-11-19 00:00:00,Direct Debit,Healthcare,-102.55
TXN00000041,ACC0009530,CUST003462,2024-12-30 00:00:00,Salary Deposit,Salary,4740.71
TXN00000042,ACC0009530,CUST003462,2024-11-15 00:00:00,Online Transfer,Travel,-41.21
TXN00000043,ACC0009530,CUST003462,2024-12-22 00:00:00,Salary Deposit,Salary,2313.7
TXN00000044,ACC0009530,CUST003462,2024-10-08 00:00:00,Direct Debit,Rent,-91.52
TXN00000045,ACC0009530,CUST003462,2024-11-24 00:00:00,Direct Debit,Utilities,-1.89
TXN00000046,ACC0000793,CUST002752,2024-11-14 00:00:00,Salary Deposit,Salary,4841.34
TXN00000047,ACC0000793,CUST002752,2024-10-07 00:00:00,ATM Withdrawal,Shopping,-41.94
TXN00000048,ACC0000793,CUST002752,2024-12-11 00:00:00,Salary Deposit,Salary,2913.94
TXN00000049,ACC0000793,CUST002752,2024-12-11 00:00:00,Online Transfer,Salary,-79.77
TXN00000050,ACC0000793,CUST002752,2024-10-23 00:00:00,International Transfer,Utilities,-469.59
